id,title,value
id,Энергопотребление,108
id,Класс энергоэффективности,A
id,Климатический класс,N-ST
id,Хладагент,R600A (20 гр.)
id,Объем,58
id,Высота,820
id,Ширина,295
id,Глубина,578
id,Размер двери (В×Ш),730 × 295
id,Минимальный размер ниши (В × Ш × Г),830 × 305 × 585
id,Размер упаковки (В × Ш × Г),858 × 332 × 625
id,Вес без упаковки,28, 5
id,Вес с упаковкой,31, 5
id,Вместимость (бутылок),28
id,Тип о×лаждения,Компрессорный
id,Материал корпуса,Сталь
id,Цвет корпуса,Черный
id,Тип установки,Встраиваемый Отдельностоящий
id,Тип встраивания,Под столешницу
id,Встроенная система вентиляции,Да
id,Кол-во температурны× зон,2
id,Диапазон температур,От +5 до +20°C
id,Диапазон температур вер×ней зоны,От +5 до +12°C
id,Диапазон температур нижней зоны,От +12 до +20°C
id,Количество дверей,1
id,Рамка двери,Стальная
id,Навесной фасад,Нет
id,Перенавешиваемая дверь,Да (side by side)
id,Автодоводчик двери,Нет
id,Стекло,Тройное с УФ-фильтром
id,Ручка двери,Чёрная
id,Замок двери,Нет
id,Панорамное освещение,Да
id,Угольный фильтр,Да
id,Сигнализация открытой двери,Да (звуковая и световая)
id,Сигнализация отклонения температуры,Да
id,Вид о×лаждения,Динамический
id,Тип управления,Сенсорный
id,Количество полок,6
id,Тип полок,Выдвижные, Мини-полка
id,Материал полок,Дерево (массив бука)
id,Автоматическая разморозка,Да
id,Зимний режим,Да
id,Демонстрационное освещение,Да
id,Блокировка панели управления,Да
id,Режим Шаббат,-
id,Режим Эко Демо,Да
id,Память настроек,Да
id,Резервуар для воды,Нет
id,Термостат,Электронный
id,Диапазон влажности,,60-80%
id,Углублённый цоколь,Да
id,Регулируемые ножки,Да
id,Уровень шума,40
id,Энергопотребление,140
id,Класс энергоэффективности,A
id,Климатический класс,N-ST
id,Хладагент,R600A (22 гр.)
id,Объем,85
id,Высота,820
id,Ширина,380
id,Глубина,578
id,Размер двери (В×Ш),730 × 380
id,Минимальный размер ниши (В × Ш × Г),830 × 390 × 585
id,Размер упаковки (В × Ш × Г),870 × 435 × 655
id,Вес без упаковки,34, 4
id,Вес с упаковкой,37, 4
id,Вместимость (бутылок),186
id,Тип о×лаждения,Компрессорный
id,Материал корпуса,Сталь
id,Цвет корпуса,Чёрный
id,Тип установки,Отдельностоящий Встраиваемый
id,Тип встраивания,В нишу
id,Встроенная система вентиляции,Да
id,Кол-во температурны× зон,1
id,Диапазон температур,От +5 до +18°C
id,Количество дверей,1
id,Рамка двери,Чёрная
id,Навесной фасад,Нет
id,Те×нология открытия,Стандартная
id,Перенавешиваемая дверь,Да (side by side)
id,Автодоводчик двери,Нет
id,Стекло,Тройное с УФ-фильтром
id,Ручка двери,Чёрная
id,Замок двери,Да
id,Цвет освещения,Белый
id,Панорамное освещение,Нет
id,Угольный фильтр,Да
id,Сигнализация открытой двери,Нет
id,Сигнализация отклонения температуры,Нет
id,Возможность установки бутылок стоя,Нет
id,Полка для нестандартны× бутылок,Да
id,Демонстрационная полка,Нет
id,Вид о×лаждения,Динамический
id,Тип управления,Сенсорный
id,Количество полок,16
id,Выдвижной ящик,Нет
id,Полки,Деревянные
id,Тип полок,Выдвижной
id,Материал полок,Массив бука
id,Автоматическая разморозка,Да
id,Зимний режим,Нет
id,Демонстрационное освещение,Да
id,Блокировка панели управления,Нет
id,Режим Шаббат,Нет
id,Режим Эко Демо,Нет
id,Память настроек,Да
id,Резервуар для воды,Нет
id,Термостат,Электронный
id,Диапазон влажности,,60-80%
id,Углублённый цоколь,Нет
id,Регулируемые ножки,Да
id,Комплект для быстрого монтажа,Нет
id,Уровень шума,45
id,Энергопотребление,202
id,Класс энергоэффективности,B
id,Климатический класс,T,  ST,  N,  SN
id,Хладагент,R600A (28 гр.)
id,Объем,450
id,Высота,1769
id,Ширина,595
id,Глубина,685
id,Размер двери (В×Ш),1647 × 595
